interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
21-43-70-80	1353d7d6681f469cbfeeac151ffed628	2020-01-24	14:19:45	3	SR04	1	MJS01	2
21-43-70-80	1353d7d6681f469cbfeeac151ffed628	2020-01-25	14:42:40	5	MJS01	2	any headquarters	3
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	10:03:32	12	SR04	1	SR04	1
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	10:03:32	0	SR04	1	MJS01	2
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	10:03:32	1	SR04	1	SR04	1
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	10:03:35	2	SR04	1	SR04	1
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	10:10:47	15	SR04	1	SR04	1
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	10:15:52	14	SR04	1	SR04	1
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	10:15:57	3	SR04	1	MJS01	2
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	14:43:34	4	SR04	1	SR04	1
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	14:43:35	14	SR04	1	SR04	1
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-24	14:45:22	3	SR04	1	MJS01	2
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-25	14:34:02	17	MJS01	2	MJS01	2
27-80-38-67	47b4ea964d4b4ee7b17638a7a603e199	2020-01-25	14:34:39	5	MJS01	2	any headquarters	3
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	06:52:27	12	SR04	1	SR04	1
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	06:52:27	0	SR04	1	MJS01	2
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	06:52:27	1	SR04	1	SR04	1
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	06:52:30	2	SR04	1	SR04	1
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	06:59:49	14	SR04	1	SR04	1
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	07:01:03	3	SR04	1	MJS01	2
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	14:15:08	4	SR04	1	SR04	1
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	14:15:09	14	SR04	1	SR04	1
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	14:16:16	15	SR04	1	SR04	1
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	14:17:02	14	SR04	1	SR04	1
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-24	14:17:24	3	SR04	1	MJS01	2
41-44-77-23	498f3e3bc5fa40a69c225672101d5f17	2020-01-25	14:43:01	5	MJS01	2	any headquarters	3
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:44:28	12	SR04	1	SR04	1
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:44:28	0	SR04	1	MJS01	2
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:44:28	1	SR04	1	SR04	1
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:44:30	2	SR04	1	SR04	1
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:46:29	15	SR04	1	SR04	1
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:46:48	14	SR04	1	SR04	1
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:54:47	15	SR04	1	SR04	1
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:57:06	14	SR04	1	SR04	1
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	07:57:07	3	SR04	1	MJS01	2
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	14:19:58	4	SR04	1	SR04	1
